date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:27	450/450	---MCZ	200	added ('OK')	text/plain	etag:cacheable:5db6fbf33e7b86caed3569edef0e37c7	https://bardy-demo.myshopify.com/robots.txt		(from )
22:24:28	132408/132408	---MCZ	200	added ('OK')	text/html	etag:cacheable:086dcdab32c587512e07c20033de5f63	https://bardy-demo.myshopify.com/	C:/xampp/htdocs/c/bardy-demo.myshopify.com/index.html	(from )
22:24:29	977/977	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Oct%202020%2016:54:28%20GMT	http://cdn.shopify.com/s/files/1/0114/0994/8731/files/bardy-favicon_32x32.png?v=1540358270	C:/xampp/htdocs/c/cdn.shopify.com/s/files/1/0114/0994/8731/files/bardy-favicon_32x32a7fa.png	(from https://bardy-demo.myshopify.com/)
22:24:30	42991/42991	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Oct%202020%2016:54:29%20GMT	http://cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/timber.scss.css?v=18136201930983889848	C:/xampp/htdocs/c/cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/timber.scss2129.css	(from https://bardy-demo.myshopify.com/)
22:24:33	36410/36410	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202019%2014:56:43%20GMT	http://cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/theme-custom.css?v=11695617689216347972	C:/xampp/htdocs/c/cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/theme-customf0a7.css	(from https://bardy-demo.myshopify.com/)
22:24:34	5610/5610	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Dec%202019%2010:22:03%20GMT	http://cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/theme-responsive.css?v=12380703588871725443	C:/xampp/htdocs/c/cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/theme-responsivea890.css	(from https://bardy-demo.myshopify.com/)
22:24:34	500479/500479	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Dec%202019%2021:26:35%20GMT	http://cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/vendors.css?v=13037289040117020567	C:/xampp/htdocs/c/cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/vendors2e5c.css	(from https://bardy-demo.myshopify.com/)
22:24:34	6830/6830	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202019%2007:54:56%20GMT	http://cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/skin-theme.css?v=5336561448832073469	C:/xampp/htdocs/c/cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/skin-theme2b1a.css	(from https://bardy-demo.myshopify.com/)
22:24:35	6560/6560	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Dec%202019%2016:14:06%20GMT	http://cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/theme-color.css?v=10165101979186961600	C:/xampp/htdocs/c/cdn.shopify.com/s/files/1/0114/0994/8731/t/11/assets/theme-color2408.css	(from https://bardy-demo.myshopify.com/)
22:24:36	65258/65258	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:60fcb4b08d3cf296d52914912271b0ba	https://bardy-demo.myshopify.com/POST	C:/xampp/htdocs/c/bardy-demo.myshopify.com/POST	(from https://bardy-demo.myshopify.com/)
